en,nl,it,de,es,pl,sq,ar,bn,bg,zh,cs,da,fa,fr,el,gu,he,hi,hu,is,id,ja,quc,ko,mt,mam,no,pt,ro,ru,si,sl,sw,ta,tet,tr,tzj,uk,vi,cy
What is Space Scoop?,Wat is Space Scoop?,Cos'è Space Scoop?,Was ist Space Scoop?,¿Qué es Space Scoop?,Czym jest Space Scoop?,,,স্পেস স্কুপ  কি?,Какво е Space Scoop?,,Co je to Space Scoop?,Hvad er Space Scoop?,ملاقه‌ فضایی چیست؟,"Qu'est-ce que ""Scoop de l'Espace"" ?",Τι είναι οι Διαστημικές Ειδήσεις; ,,מהו סקופ חלל?,अंतरिक्ष स्कूप क्या है?,,Hvað er Space Scoop?,Apa itu Space Scoop,スペース・スクープとは何？,¿Jas uwach ri' Space Scoop?,Space Scoop 이란?,,,Hva er Space Scoop?,O que é o Space Scoop?,Ce este Space Scoop?,Что такое Космический Совок?,Space Scoop යනු කුමක්ද?      ,Kaj so Space Scoop novice?,Space Scoop ni nini?,Space Scoop என்றால் என்ன?,,Uzay Gazetesi Nedir?,Naq k'ari' ja Space Coop,Що таке Space Scoop?,Space Scoop là gì?,Beth yw Space Scoop?
Discover more Astronomy,Ontdek meer sterrenkunde,Un sacco di astronomia,Entdecke mehr Astronomie,Descubre más Astronomía,Poznaj tajniki astronomii,,اكتشف المزيد حول الفضاء والفلك,আরো জ্যোতির্বিদ্যা আবিষ্কার করো,Открий още астрономически тайни,,Více o astronomii,Opdag Mere Astronomi,نجوم را بیشتر کشف کنید,Découvre plus d'astronomie,Ανακάλυψε περισσότερη Αστρονομία,,גלו עוד אסטרונומיה,अधिक खगोल विज्ञान की खोज,,Lærðu meira um stjörnufræði,"Topik Astronomi lainnya
",天文学の発見,Chariqa' nik'aj chik Unik'oxik uwakaj,천문학 알아보기,,,Opptag mer astronomi,Descobre mais Astronomia,Descoperă mai multe despre astronomie,Узнайте больше Астрономии,තාරකා විද්‍යාව ගැන තවදුරටත්,Odkrij več astronomije,Vumbua astronomia zaidi,விண்ணியல் பற்றி அறிய,,Gökbilimi biraz daha keşfet,Tawajtaqiij k'iy chirij ja ch'umiil,Дізнайтесь більше про Астрономію,Khám phá thêm về thiên văn học,Darganfyddwch mwy o Seryddiaeth
Inspiring a New Generation of Space Explorers,We inspireren een nieuwe generatie van ruimte-onderzoekers,Ispirare una nuova generazione di esploratori spaziali,Wir inspirieren eine neue Generation von Entdeckern des Weltraums,Inspirando a una nueva generación de Exploradores Espaciales,Inspirujemy nowe pokolenie odkrywców kosmosu,,الهام جيل جديد من مستكشفي الفضاء, নতুন প্রজন্মের মহাকাশ অনুসন্ধানকারীদের  অনুপ্রাণিত করা ,Вдъхновяваме ново поколение космически изследователи,,Inspirujeme novou generaci vesmírných badatelů,Inspirerer en Ny Generation af Rumudforskere,الهام بخشیدن به نسل جدیدی از سیاحان فضا,Inspirer une nouvelle génération d'explorateur-trice-s de l'espace,Έμπνευση για τη Νέα Γενιά Εξερευνητών του Διαστήματος,,לעורר השראה בדור חדש של מגלי חלל,अंतरिक्ष खोजकर्ता की एक नई पीढ़ी को प्रेरित कर,,Veitir næstu kynslóð geimkönnuða innblástur,Mengilhami Generasi Baru Penjelajah Antariksa,つぎの宇宙探検家を励ますこと,Uk'utik chi kiwach k'ak' taq nik'ol uwakaj,다음 세대의 우주 탐험가를 위하여,,,Inspirerer en ny generasjon av oppdagere,Inspirando uma nova geração de Exploradores Espaciais,Inspiră o nouă generație de exploratori spațiali,Вдохновляет новое поколение исследователей Космоса,අභ්‍යවකාශ ගවේෂණයේ මීළග පරපුරේ ප්‍රගමනයට,Navdih za novo generacijo raziskovalcev vesolja,Hamasisha kikazi kipya cha wavumbua anga,புதிய தலைமுறை விண்வெளி ஆய்வாளர்களை ஊக்கப்படுத்தல்,,Yeni Nesil Uzay Kaşiflerine İlham Veriyor,,Надихаючи нове покоління дослідників космосу,,Ysbrydoli Cenhedlaeth Newydd o Archwilwyr Gofod 
Space Scoop Friends,Vrienden van Space Scoop,Amici di Space Scoop,Freunde von Space Scoop,Amigos de Space Scoop,Przyjaciele Space Scoop,,أصدقاء (أخبار الفضاء),স্পেস স্কুপ বন্ধু ,Приятели на Space Scoop,,Přátelé Space Scoop,Space Scoop Venner,دوستان ملاقه فضایی,Ami-e-s de Scoop de l'Espace,Οι φίλοι των Διαστημικών Ειδήσεων,,חברים של סקופ חלל,अंतरिक्ष स्कूप मित्र,,Vinir Space Scoop,Kawan Space Scoop,スペース・スクープのなかまたち,Achi'il rech Space Scoop,Space Scoop 친구들,,,Venner av Space Scoop,Amigos do Space Scoop,Prietenii Space Scoop,Друзья Космического Совка,Space Scoop මිතුරෝ       ,Prijatelji Space Scoop,Marafiki wa Space Scoop,Space Scoop நண்பர்கள்,,Uzay Gazetesi Dostları,Ruch'alaal Space Coppe,Друзі Space Scoop,Những người bạn Space Scoop,Ffrindiau Space Scoop
Contact Us,Contact,Contattaci,Kontakt,Contáctanos,Skontaktuj się z nami,,اتصل بنا,আমাদের সাথে যোগাযোগ করুন,Свържи се с нас,,Kontaktujte nás,Kontakt Os,تماس با ما,Contacte-nous,Επικοινωνήστε μαζί μας,,צרו קשר,हमसे संपर्क करें,,Hafðu samband,Kontak Kami,お問い合わせ,Chojach'ab'ej,연락처,,,Kontakt oss,Contacta-nos,Contactează-ne!,Контакт с нами,අපව අමතන්න,Kontakt,Wasiliana nasi,எங்கள் தொடர்புகள்,,İletişime Geçin,Qo a kanooj,Контакти,Liên hệ,Cysylltwch â ni
Bringing News from across the Universe to kids around the world,We brengen nieuws vanuit het hele heelal naar kinderen over de hele wereld,News dall'Universo ai bambini di tutto il Mondo,Wir bringen Neuigkeiten aus dem Universum zu den Kindern der Welt,Contando noticias del Universo a niños de todo el mundo ,Kosmiczne nowinki dla dzieci z całego świata,,جلب الأخبار من مختلف أنحاء الكون إلى الأطفال في مختلف أنحاء العالم,মহাবিশ্ব জুড়ে থাকা খবর সংগ্রহ করে আনছি  সারা বিশ্বর শিশুদের জন্য ,Новини от Вселената за деца от цялата Земя,,Přínášíme novinky z vesmíru dětem na celém světě,Leverer Nyheder fra Hele Universet til Børn Overalt på Jorden,رساندن اخبار سراسر کیهان به کودکان سراسر دنیا,Apporter des nouvelles de l'Univers aux enfants du monde entier,Φέρνουμε τις Ειδήσεις του Σύμπαντος στα παιδιά όλου του κόσμου,,מביאים חדשות מקצה היקום לילדים ברחבי העולם,विश्व भर से दुनिया भर के बच्चों के लिये खबर लाना,,Færir börnum um allan heim fréttir af himingeimnum,Menyajikan berita Antariksa untuk anak di seluruh dunia,世界の子どもたちに宇宙からニュースを届けます,utzijoxik taq b'anoj rech uwakaj chi kech ak'alab' rech ronojel we uwachulew,우주로부터 전세계 친구들에게 전하는 소식,,,Nyheter fra hele universet til barn fra alle steder på jordkloden,Partilhando notícias do Universo a crianças de todo o mundo,Aduce știrile din Univers copiilor din lumea întreagă,Несем новости со всей Вселенной для детей по всему миру,විශ්වය සිසාරා එන පුවත් ළමා පරපුර වෙත,Prinašamo novice iz širnega vesolja otrokom širom sveta,Tunaleta habari za kutoka Ulimwenguni kwa Watoto Duniani kote,உலகெங்கும் உள்ள சிறார்களுக்கு பிரபஞ்சம் முழுதும் இருந்து செய்திகளை கொண்டுவருகிறோம்,,Evrenin her köşesinden yeni haberleri dünyanın her yanından çocuklara iletiyoruz,Konob'al ki samaaj kixiin ak'alaa' rixiin roch'uleew,Доставляємо новини зі всього Всесвіту для дітей в усьому світі,,Yn Darparu Plant y Byd gyda Newyddion y Bydysawd
Space Scoop Page,Space Scoop pagina,Pagina di Space Scoop,Space Scoop-Seite,Página de Space Scoop,Strona Space Scoop,,صفحة أخبار الفضاء,"স্পেস স্কুপ পৃষ্ঠা

",,,Strana Space Scoop,Space Scoop Side,صفحه ملاقه فضایی,Page Scoop de l'Espace,Σελίδα Διαμστημικών Ειδήσεων,,עמוד סקופ חלל,अंतरिक्ष स्कूप मित्र,,,Laman Space Scoop,スペース・スクープのページ,Uxaq rech Space Scoop,Space Scoop,,,,Página do Space Scoop,Pagina Space Scoop,Страница Космического Совка,Space Scoop පිටුව     ,Stran Space Scoop,Ukurasa wa Space Scoop,Space Scoop பக்கம்,,Uzay Gazetesi Sayfası,Ruxaaq ja Apace Scoope,Сторінка Space Scoop,,Tudalen Space Scoop
Cool Fact,Gaaf weetje,Curiosità,Tolle Fakten,Dato curioso,Ciekawostka,,حقيقة مثيرة,কৌতূহলী তথ্য,Интересно,,"""Cool"" zajímavost",Cool Fakta,نکته‌های جالب,Anecdote,Κάτι αξιοπερίεργο,,עובדה מעניינת,,,Fróðleg staðreynd,Fakta Keren,知っ得ダネ,Ajawatal juq'attzij,멋진 사실,,,Kule fakta,Facto curioso,Interesant,Интересные факты,ඔබේ දැනුමට,Kul dejstvo,Dokezo,ஆர்வக்குறிப்பு,,İlginç Gerçekler,Awataltziij,Крутий факт,,Ffaith Ddiddorol
This Space Scoop is based on a Press Release from INSTITUTION_NAME,Deze Space Scoop is gebaseerd op een persbericht van INSTITUTION_NAME,Questo Space Scoop è basato su un Comunicato Stampa di NOME ISTITUTO,Dieser Space Scoop basiert auf einer Pressemitteilung von INSTITUTION_NAME,Este Space Scoop está basado en un comunicado de prensa de INSTITUTION_NAME,Ten Space Scoop oparty jest o komunikat prasowy z INSTITUTIONS_NAME,,أخبار الفضاء هذه تستند على بيان صحفي صادر عن INSTITUTION_NAME,এই স্পেস  স্কুপটি  একটি  INSTITUTION NAME 'র  প্রেস রিলিজ ভিত্তি করে ,Този Space Scoop се позовава на прес-съобщение от INSTITUTION_NAME,,Tento „Space Scoop“ byl vytvořen na základě tiskové zprávy z INSTITUTION_NAME,Dette Space Scoop er baseret på en pressemeddelse fra INSTITUTION_NAME,این ملاقه فضایی بر اساس نشر مطبوعات INSTITUTION_NAME است,Ce scoop de l'espace est tiré d'un communiqué de presse de INSTITUTION_NAME,Αυτή η διαστημική είδηση βασίστηκε σε Δελτίο Τύπου του INSTITUTION_NAME,,סקופ החלל הזה מבוסס על הודעה לעיתונות של- INSTITUTION_NAME, यह अंतरिक्ष स्कूप एक INSTITUTION NAME से  प्रेस विज्ञप्ति पर आधारित है ,,Þetta Space Scoop er byggt á fréttatilkynningu frá INSTITUTION_NAME,Space Scoop disadur dari Rilis Berita INSTITUTION_NAME,この記事は INSTITUTION_NAME の報道発表に基づいています,We Space Scoop elesam chech jun tzijonem rech b'anoj rech INSTITUTION_NAME,이 Space Scoop 은 ____ 에서 출처하였습니다.,,,Denne romnyheten er basert på en pressemelding fra INSTITUTION_NAME,Este Space Scoop é baseado num comunicado de imprensa de INSTITUTION_NAME,Acest Space Scoop este realizat pe baza unui comunicat de presă de la INSTITUTION_NAME,Эти новости основаны на сообщениях Института,INSTITUTION_NAME මාධ්ය නිවේදනයක් පදනම් කරගෙන මෙම Space scoop ලිපිය රචනා කර ඇත       ,To je Space Scoop verzija novice INSTITUTION_NAME,Taarifa hii ya Space Scoop inatokana na taarifa kwa vyombo vya habari ya ,"இந்த Space Scoop, பின்வரும் பத்திரிகை வெளியீட்டை அடிப்படையாகக் கொண்டது: INSTITUTION_NAME",,Bu Uzay Gazetesi'ne kaynak oluşturan Basın Bülteni şu kuruma aittir INSTITUTION_NAME,Jawa' ja Space Scoope too'on rumal jun mokaaj,Цей Space Scoop оснований на прес-релізі INSTITUTION_NAME,,Caiff y Space Scoop yma ei seilio ar Ddatganiad i'r Wasg o INSTITUTION_NAME
This Space Scoop is based on Press Releases from INSTITUTIONS_NAME,Deze Space Scoop is gebaseerd op een persbericht van INSTITUTION_NAME,Questo Space Scoop è basato su Comunicati Stampa di NOME ISTITUTO,Dieser Space Scoop basiert auf Pressemitteilungen von INSTITUTIONS_NAME,Este Space Scoop está basado en comunicados de prensa de INSTITUTIONS_NAME,Ten Space Scoop oparty jest o komunikaty prasowe z INSTITUTIONS_NAME,,أخبار الفضاء هذه تستند على بيان صحفي صادر عن INSTITUTION_NAME,এই স্পেস স্কুপটি একটি  INSTITUTION NAME 'র প্রেস রিলিজ ভিত্তি করে,Този Space Scoop се позовава на прес-съобщение от INSTITUTIONS_NAME,,Tento „Space Scoop“ byl vytvořen na základě tiskové zprávy z INSTITUTIONS_NAME,Dette Space Scoop er baseret på en pressemeddelse fra INSTITUTIONS_NAME,,Ce scoop de l'espace est basé sur des communiqués de presse de INSTITUTIONS_NAME,Αυτή η διαστημική είδηση βασίστηκε σε Δελτία Τύπου των INSTITUTIONS_NAME,,סקופ החלל הזה מבוסס על הודעה לעיתונות של- INSTITUTION_NAME ,यह अंतरिक्ष स्कूप प्रेस पर आधारित है INSTITUTIONS_NAME से विज्ञप्ति,,Þetta Space Scoop er byggt á fréttatilkynningu frá INSTITUTIONS_NAME,Space Scoop disadur dari Press Rilis INSTITUTIONS_NAME,この記事は INSTITUTIONS_NAME の報道発表に基づいています,We Space Scoop elesam chech jun tzijonem rech b'anoj rech INSTITUTION_NAME,이 Space Scoop 은 ____ 에서 출처하였습니다.,,,Denne romnyheten er basert på en pressemeldinger fra INSTITUTIONS_NAME,Este Space Scoop está baseado em comunicados de imprensa de INSTITUTION_NAME,Acest Space Scoop este realizat pe baza unui comunicat de presă de la INSTITUTIONS_NAME,Эти новости основаны на сообщениях Института,INSTITUTION_NAME මාධ්ය නිවේදනයක් පදනම් කරගෙන මෙම Space scoop ලිපිය රචනා කර ඇත       ,To je Space Scoop verzija novice INSTITUTIONS_NAME,Taarifa hii ya Space Scoop inatokana na taarifa kwa vyombo vya habari ya ,"இந்த Space Scoop, பின்வரும் பத்திரிகை வெளியீட்டை அடிப்படையாகக் கொண்டது: INSTITUTION_NAME",,Bu Uzay Gazetesi'ne kaynak oluşturan Basın Bültenleri şu kuruma aittir INSTITUTION_NAME,Jawa' ja Space Scoope too'on rumal jun mokaaj,Цей Space Scoop оснований на прес-релізах INSTITUTION_NAME,,Caiff y Space Scoop yma ei seilio ar Ddatganiad i'r Wasg o INSTITUTION_NAME
Image,Plaatje ,Immagini,Bild,Imagen,Ilustracja,,صورة,ছবি  ,Изображение,,Obrázek,Billede,تصویر,Image,Εικόνα,,תמונה,छवि,,Mynd,Foto,写真,Wachib'al,그림,,,Bilde,Imagem,Imagine,Изображения,රූපය,Slika,Picha,படங்கள்,,Görüntü,Achib'al,Зображення,,Llun 
Print Friendly Version,Printvriendelijke versie,Versione Print Friendly,Druckerfreundliche Version,Versión para imprimir,Wersja do druku,,نسخة للطباعة,বন্ধুত্বপূর্ণ সংস্করণ প্রিন্ট,Версия за разпечатване,,Verze pro tisk,Printervenlig udgave,نسخه مناسب پرینت,Imprimer une version agréable,Έκδοση για εκτύπωση,,גרסה להדפסה,"
अनुकूल संस्करण प्रिंट",,Prentvæn útgáfa,Versi cetak,印刷用ページ,Okib'al rech Man k'ax ta utz'ajtz'ib'axik,프린트용,,,Utskriftsvennlig versjon,Versão para imprimir,Versiune printabilă,Версия для печати,මුද්‍රණ පිටපත,Verzija za tiskanje,Chapisha,அச்சிடக்கூடிய பதிப்பு,,Yazıcı Dostu Versiyon,Wasab'al achib'al,Версія для друку,,Argarffwch y Fersiwn Cyfeillgar
Share,Deel,Condividi,Teilen,Comparte,Podziel się,,مشاركة,প্রদান করা,Сподели,,Sdílej,Del,اشتراک‌گذاری,Partager,Μοιράσου το!,,שתפו,"
शेयर",,Deila,Bagikan,シェアする,Ukomonexik,나누기,,,Del,Partilhar,Distribuie,Поделиться,බෙදා ගනිමු,Deli z drugimi,Sambaza,ஷேர்,,Paylaş,Yab'al rub'i'xiik,Поширити,,Rhannu
Related Space Scoops,Gerelateerde Space Scoops,Space Scoop sullo stesso argomento,Ähnliche Space Scoops,Space Scoop relacionados,Powiązane Space Scoops,,ذات صلة بأخبار الفضاء,স্পেস স্কুপ সম্পর্কিত ,Подобни новини,,Související Space Scoop,Relaterede Space Scoops,ملاقه‌های فضایی مرتبط,Scoops de l'Espace liés à ce sujet,Σχετιζόμενες Διαστημικές Ειδήσεις,,סקופים קשורים,"अंतरिक्ष स्कूप 
संबंधित",,Tengd Space Scoops,Space Scoop terkait,スペース・スクープ関連,Ujunamatajem Space Scoops,관련된 Space Scoops,,,Relaterte Space Scoops,Space Scoops relacionados,Articole Space Scoop  asemănatoare,Связь с Космическим Совком,ආශ්‍රීත වෙනත් Space scoop ලිපි,Povezane Space Scoop novice,Space Scoop sawa na hii,தொடர்புள்ள Space Scoops,,İlgili Uzay Gazeteleri,Ru kemeb'a'l rii' ja Space Scoop,Пов'язані Space Scoops,,Space Scoops Tebyg
More Space Scoops,Meer Space Scoops,Più Space Scoop,Weitere Space Scoops,Más Space Scoops,Więcej Space Scoops,,المزيد من أخبار الفضاء,আরও স্পেস স্কুপ সম্পর্কে,Още новини,,Více Space Scoop,Flere Space Scoops,ملاقه‌های فضایی بیشتر,Autres Scoops de l'Espace,Κι άλλες Διαστημικές Ειδήσεις,,עוד סקופים  של חלל,अंतरिक्ष स्कूप के बारे में अधिक,,Fleiri Space Scoops,Space Scoop lainnya,もっとスペース・スクープについて,Nik'aj chi Space Scoops,더 많은 Space Scoops,,,Flere Space Scoops,Mais space scoops,Mai multe articole Space Scoop,Больше о Космическом Совке,තවත් Space Scoop ලිපි,Več Space Scoop novic,Space Scoop Nyingine,மேலும் Space Scoop,,Daha Fazla Uzay Gazetesi,Nik'aj chik Space Scope,Більше Space Scoops,,Mwy o Space Scoops 
Partners Page,Partnerpagina,Partner,Partnerseite,Página de colaboradores,Strona partnerów,,صفحة الشركاء,অংশীদারদের পৃষ্ঠা,,,Stránky partnerů,,صفحه شرکا,Page des partenaires,Σελίδες Εταίρων ,,עמוד שותפים,भागीदारों के पृष्ठ,,,Laman Mitra,協力者のページ,Uxaq Rachi'l,협력처,,,Samarbeidspartnere,Página de colaboradores,Pagina partenerilor,Партнёры страницы,සම්පත් දායක පිටු,Strani partnerjev,Ukurasa wa Wadau,பங்காளர் பக்கம்,,Ortaklar Sayfası,Ruxaaq kixiin ja ne too'oni',Сторінка партнерів,,Tudalen Partneriaid
Partner,Partner ,Partner,Partner,Colaborador,Partner,,شريك,অংশীদার,Партньор,,Partner,Partner,شریک,Partenaire,Εταίροι,,שותף,भागीदारों,,Samstarfsaðilar,Mitra,協力者,Rachi'l,협력처,,,Samarbeidspartner,Colaborador,Partener,Партнёр,සම්පත්දායක,Partner,Madau,பங்காளர்,,Ortak,Eto'onelaa',Партнер,,Partner
